Date,VNI30,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
03/06/2019,864.08,10868.6,23419.5,77300,14837.3,25410.9,101400,11425,10375.7,11086,18147.4,10021.5,85000,27704,33378,15452.5,61300,52649.5,15200,270000,12899.7,11600,21500,14429.2,51067,60601,114500,122000,100168,6666.7,33800
04/06/2019,864.35,10830.8,24491,77800,14911.8,25294.1,102000,11425,10317.6,11117.7,18147.4,10021.5,85000,28030,33490,15452.5,62200,52701.7,15500,273000,12925.8,11600,21200,14429.2,51605,60601,114600,121300,100637,6666.7,34300
05/06/2019,863.69,10944.4,24031.8,77800,14986.4,25469.3,102000,11425,10433.9,10888.9,18118.1,9972.3,85000,28226,33656,15710,62000,53624.5,15600,274000,12951.9,11650,21300,14489.8,51221,60601,115900,121400,100954,6611.2,34350
06/06/2019,861.31,10792.9,23955.2,77800,15135.5,25995.1,99800,12213,10395.1,10385.7,18118.1,9947.7,85200,28193,33545,15710,61700,53624.5,15750,274000,12873.7,11550,21350,14489.8,50606,60376,115900,121400,100162,6648.2,34450
07/06/2019,869.56,10868.6,24261.4,78300,15247.4,26404,103000,13297,10433.9,10500,18118.1,10120,86000,28780,33768,15967.6,62400,54878,16050,276400,13056.1,11750,21600,14611.1,50376,61804,117000,122200,100241,6648.2,34750
10/06/2019,872.49,10830.8,24261.4,79000,15284.6,26345.6,103500,12804,10395.1,10477.2,18176.7,10144.7,86700,28878,33768,16289.5,62400,54878,16100,281800,13134.3,11800,21500,14762.7,51221,61654,117600,124000,100479,6703.8,35050
11/06/2019,870.91,10830.8,24414.4,79800,15284.6,26404,104000,12804,10375.7,10522.9,18330.8,10193.9,86000,29204,33656,16225.1,62400,54947.7,15850,276000,13134.3,11700,21500,15459.9,51758,61579,117000,124000,99371,6722.3,35200
12/06/2019,865.42,10792.9,24108.3,80300,15098.2,26316.3,101500,13395,10395.1,10568.7,18369.4,10144.7,85000,29562,33323,15967.6,61800,53415.5,15750,274000,12951.9,11650,21300,15278,51451,60150,116000,123500,99133,6722.3,34950
13/06/2019,859.68,10830.8,24108.3,80000,15023.7,26024.3,101500,13691,10317.6,10522.9,18369.4,10144.7,84500,29139,32822,15903.2,61500,52022.7,15600,274000,12925.8,11600,21150,15399.3,51682,60150,115500,121600,97549,6740.8,34700
14/06/2019,861.65,10868.6,24605.8,80000,15135.5,25936.6,102000,13198,10317.6,10500,18871.1,10193.9,84200,29041,33045,15903.2,61400,51674.5,15600,273000,12925.8,11650,21200,15096.1,53141,60075,115500,121700,97945,6889,34900
17/06/2019,852.99,10868.6,24567.5,80500,15247.4,25732.2,101900,13001,10278.8,10271.3,18523.8,10193.9,83500,28617,32154,15903.2,61300,50281.6,15950,273000,12821.6,11450,20800,14853.6,53141,58646,114500,119900,97945,6889,34000
18/06/2019,848.17,10944.4,24491,80500,15098.2,25732.2,101500,13198,10084.8,10545.8,18716.7,10144.7,82000,28780,31598,16031.9,61000,49794.1,15800,273000,12743.4,11200,20300,14277.7,53985,58646,114000,118000,97391,6833.4,33500
19/06/2019,854.34,10944.4,24491,79800,15098.2,26082.7,103700,13297,10181.8,10911.8,18909.7,10169.3,82800,28878,31932,16225.1,61500,50003.1,15650,275500,12925.8,11300,20100,14186.7,53601,58722,115900,119500,97708,6870.4,34000
20/06/2019,864.59,11209.5,24988.5,80400,15657.4,26520.8,104800,13297,10433.9,10797.4,18986.9,10489.4,82500,29562,32043,16804.6,63500,51326.3,15500,275000,13082.2,11500,20600,14308,54907,58947,116000,123300,97629,7111.2,34900
21/06/2019,866.53,11171.6,24873.7,79500,15955.7,26520.8,105500,13100,10317.6,10843.2,18793.9,10489.4,84000,29660,31709,16450.4,63000,51674.5,15400,278000,13082.2,11450,20800,14308,54523,59022,114500,123200,99371,7148.2,34300
24/06/2019,868.94,11171.6,24950.2,80300,15955.7,26374.8,104500,12607,10337,10683.1,18446.6,10489.4,84100,29790,32210,16643.6,62500,51256.6,14850,281000,12977.9,11700,20900,13913.9,56059,59774,116400,123500,97470,7148.2,34500
25/06/2019,868.5,11058,24567.5,80100,15694.7,27163.4,103500,12607,10356.3,10568.7,18523.8,10390.9,84000,29921,32544,16579.2,61900,50629.8,14850,281800,12951.9,11650,20750,13883.6,55598,59774,116400,123900,97708,7185.3,34300
26/06/2019,866.81,10982.3,24873.7,80800,15582.9,26958.9,104700,12607,10317.6,10477.2,18369.4,10267.8,85500,30247,33323,16450.4,62800,50699.5,14800,282000,12925.8,11500,20400,13762.3,54139,59398,116900,124200,97787,7111.2,34350
27/06/2019,854.41,10830.8,24491,80900,15396.5,26520.8,98000,12509,10298.2,10317,18909.7,10144.7,82000,29660,33100,16579.2,61900,50142.3,14450,272000,12821.6,11300,20200,13762.3,53371,58270,114900,124500,97470,6981.6,33750
28/06/2019,864.24,10944.4,24261.4,80800,14539,26579.2,97500,12410,10666.6,10751.7,18832.5,10292.4,83000,30247,33156,16804.6,59500,50838.8,15200,275000,12925.8,11350,20350,13853.3,54139,59624,115700,128000,97391,7000.1,33800
01/07/2019,876.26,11058,24758.9,81100,15545.6,27513.9,103700,12607,10433.9,10522.9,18408,10415.5,85600,30866,33768,16836.8,63300,51744.1,15000,277900,13030,11550,21000,13883.6,54753,60902,117200,127000,98975,7185.3,34250
02/07/2019,872.92,10944.4,24529.3,81300,15508.3,27397,103900,12903,10278.8,10339.9,18408,10415.5,84600,31127,33490,16804.6,64200,52092.3,14800,275200,12899.7,11450,20900,13944.2,54139,60977,115800,128500,99054,7148.2,34600
03/07/2019,869.58,10906.5,24567.5,82700,15694.7,27338.6,103000,12804,10201.2,10134,18253.7,10341.6,84500,31159,32655,16836.8,64000,51326.3,14750,276000,12951.9,11350,20800,14004.8,53448,61654,115400,128500,99766,7111.2,34300
04/07/2019,879.72,11058,25103.3,82700,15769.3,27426.2,103200,12903,10278.8,10202.7,18253.7,10415.5,85200,31127,33267,16836.8,64300,51883.4,14800,279000,13134.3,11450,21400,14065.5,55675,63910,116500,129500,99925,7166.7,34750
